S0001870812002101:135	Assume that L is a line bundle.
S027737911400050X:185	Accurate clast size measurement is thwarted further (especially close to the source volcano) by the deposition of clasts that are outliers to the main size distribution (Bonadonna et al., 2013), such as ballistic bombs, which can be problematic to distinguish from pumices, especially when both are degraded.
S0301010413004096:102	The small increase in the intensity of this peak in the difference spectra upon increasing the H2 loading from 0.25 to 0.5 H2/Al suggests that the interacting site reaches saturation quickly, presumably owing to space constraints.
S0301010413004096:41	In a typical gas adsorption experiment, ∼100mg of NOTT-300 was loaded into the IGA, and degassed at 120°C and high vacuum (10-10bar) for 1day to give fully desolvated NOTT-300.
S0304406813000335:254	stable if it is both internally and externally stable.
S0304406813000335:131	To make more precise observations about such a set, we need the notion of Hausdorff dimension, which we now introduce.
S030881461301604X:36	The European Food Safety Authority (EFSA) set the BMDL0.1 value at 0.3 - 8μg/kg bw/day in 2010 (European Food Safety Authority, 2010).
S030881461301604X:202	The inorganic arsenic intake of different age groups of children from rice-based baby food was also close to the lower BMDL0.1 value.
S0378112713005288:55	Clashindarroch forest was established from 1930 onwards (Forestry Commission, 1964).
S0378112713005288:146	No significant difference in regeneration densities was found between brown earth and peaty gley soils (F(1,3.95)=1.75, p=n.s.).
S0378383911001669:46	The reservoir is constructed from Perspex and has inside dimensions of 983mm×394mm×832mm (length×width×height).
S0378383911001669:183	O'Donoghue et al. (2010) presented turbulent kinetic energy results for their smooth and rough beaches, but were limited by measuring one component of velocity (u) only.
S0378383912000130:292	The time that the wetting front reaches the groundwater occurs slightly earlier in the numerical predictions than in the experimental results, e.g.
S0378383912000130:97	The pressure build-up then drives the wetting front towards the bed surface causing exfiltration, i.e. water is returned to the surface flow through the volume flux shown in Eq. (1).
S0378383913001567:192	By applying this method, once the values of the auxiliary variable r¯˜*l are known, the values of the original variables r¯˜l at each stage of the Runge-Kutta method are computed by solving the following equation:(28)r≃*l=rl≃+H¯˜V¯˜′lin which V¯′l includes first and second derivative of r¯˜l/H¯˜ with respect to ξ1 and ξ2 and cross derivatives (see Appendix B).
S0378383913001567:374	The waves propagating on the part of the domain characterised by the linearly varying bottom elevation (section B-B in Fig. 17) and water depths lower than those present at the rip channel (section A-A in Fig. 17) start to break earlier than the waves propagating on the rip channel.
S037842901300244X:136	In the C0 evaluation, S1 progenies flowered three weeks later than the FS.
S037842901300244X:225	The development of a marker-assisted population improvement scheme for enhancing quantitative Striga resistance in pearl millet could help render selection even more effective.
S092181811300218X:39	According to Mutti et al. (1997, 1999) three depositional sequences, including shallow water to deeper water sediments, were differentiated in the northwestern Maiella.
S092181811300218X:90	The first occurrence of Praeorbulina in Decontra section is in the uppermost part of the Cerratina cherty Limestone.
S0921818113002245:291	Tauxe et al. (2006) provide strong reasons for the flocculation of magnetic grains in saline water columns, which they argue leads to an insignificant lock-in depth (i.e. only a strict DRM is acquired).
S0921818113002245:254	The FORC results and complementary mineral magnetic data (e.g. χARM/SIRM ratios of approximately 160×10-5A/m and MDFARM between 40 and 45mT) indicate that non-interacting single-domain magnetosomal magnetite is the dominant carrier of natural and laboratory induced magnetizations in the laminated sections of the Gyltigesjön sediments (see Egli et al., 2010).
S0925443913001385:167	In particular, there was a significant reduction of synthesis of COXI, COXII and COXIII subunits.
S0925443913001385:84	Fractions (100μl) were collected and 10μl aliquots were analyzed directly by western blotting [47].
S0925443913003037:224	Clinical phenotypes caused by mutations in the specific mt-aminoacyl-tRNA synthetases are associated with diversity in both tissue-specificity and clinical presentation [6].
S0925443913003037:69	All sequence variants were cross-referenced against dbSNP (build 135) then investigated using in silico methodologies.
S0927024813001955:53	These substrates were ultrasonically cleaned in acetone and isopropanol for 15min, successively.
S0927024813001955:173	Supplementary data associated with this article can be found in the online version at 10.1016/j.solmat.2013.04.020.
S0927024813002420:129	Moreover, the donor-acceptor ratio with the highest photocurrent generation (60% PTh) corresponds well with the percolation model of solution-blended films, in which weight ratios close to optimal 1:1 (volume equivalent ~3:2, or 60%) have the highest interface-to-volume ratio as well as the most-balanced percolation and charge carrier transport in the phases [51].
S0927024813002420:53	PTh and C60 were deposited by vacuum thermal evaporation from separate tungsten boats (Leybold Optics) which were heated by a Xantrex XHR 7.5-80 DC Power Supply and TDK-Lambda Genesys 8-300 DC Power Supply, respectively.
S0927024813002961:124	In the following, data concerning device performance is normalised to the second year of their operation on the current PV monitoring system.
S0927024813002961:246	It should be noted, however, that CIGS-1 is not representative for CIGS technologies in general as CIGS-2 behaves more stably, even if the overall performance ratio appears to be rather low.
S0927024813003036:228	In fact, the same defect parameters can be used to fit the experimental data in both cases.
S0927024813003036:72	An equation analogous to Eq.
S0927775713009606:110	To characterise the optical absorption properties of the prepared CdS/MS materials, DRUVs spectroscopy was employed (Fig. 5).
S0927775713009606:51	Preparation of porous starch (MS)-supported CdS
S0950705113001895:18	Rough Set Theory (RST) is a powerful mathematical tool for dealing with inexact, uncertain or vague information [10].
S0950705113001895:466	In our experiment, we represent all the missing values by the set of all possible values of each attribute.
S095741741101342X:139	The receiver operating characteristic curve (ROC) is a two-dimensional graphical illustration of the trade-off between the true positive rate (sensitivity) and false positive rate (1-specificity).
S095741741101342X:20	Typical examples of low default portfolios include high-quality corporate borrowers, banks, sovereigns and some categories of specialised lending (Van Der Burgt, 2007) but in some countries even certain retail lending portfolios could turn out to have very low numbers of defaults compared to the majority class.
S0960148113002048:73	Note that Eq.
S0960148113002048:241	At low oscillation frequencies, strategies A and C work well.
S0960148113002735:175	The different losses in the electrical system with different topologies can be seen by comparing the turbine power and the delivered power in Fig. 7.
S0960148113002735:164	The mutual topology is unable to extract power from turbine 4 since the higher rotational velocity causes both a reduced CP (57% of the separate topology at 1800 s) and an increased core loss.
S0960148113004989:220	Secondly, the functional gradient is obtained by:(10)ⅆJⅆm︸|J|×|m|=-λ∗︸|J|×|z|∂F∂m︸|z|×|m|+∂J∂m︸|J|×|m|.
S0960148113004989:385	The simulations were performed with the same parameter settings as in the previous section (Table 1), but with an increased viscosity coefficient of ν = 30 m2 s-1 and a decreased turbine friction coefficient of K = 10.5.
S096014811300517X:85	For the current blade, data is obtained from Ref.
S096014811300517X:157	The maximum power coefficient in a tidal flow is therefore expected to be lower than the predictions in the present study, since a constant incoming flow velocity is considered here.
S0960148113005727:283	Early turbine death is a third contributing reason.
S0960148113005727:62	While we believe we are the first researchers to assess wind farm performance with this kind of ex-post data, a number of papers present techniques to estimate output levels from time series of wind data.
S0960896612001022:73	This forms a downstream loop of single-stranded parental H-strand which is degraded, with subsequent ligation of the free H-strands and continued replication.
S0960896612001022:50	Single mtDNA deletions are considered sporadic events with low inheritance risk, whereas multiple mtDNA deletions are the result of primary nuclear defects in genes responsible for mtDNA maintenance or nucleoside metabolism and follow Mendelian inheritance patterns [23].
S0967064513002774:103	Changes in aragonite, CT and pH during incubation were not quantified.
S0967064513002774:64	Site and experimental carbonate chemistry
S1084804513001987:109	We define the optimal delay function of Link l, Dlopt(c), to specify the minimum delay value provided by link l at the cost constraint of c.
S1084804513001987:125	The set of the representative points is called the non-dominated front (or Pareto front).
S1161030113001950:24	Meanwhile we found disparities of calculated input need and reported fertilizer statistics both on local (country) scale and EU level.
S1161030113001950:63	Some use strong extractants which dissolved strongly bound P and hence does not necessarily represent the actual labile pool of P in soils and others use week extractants like water or week acids which might underestimate available soil P (Neyroud and Lischer, 2003).
S1359645413009816:57	Substantial crystallite growth up to 764±4nm (Ta=468K, Fig. 3c) takes place in the subsequent distinct annealing stage B.
S1359645413009816:43	The measurements were performed with a Perkin Elmer DSC7 differential calorimeter, which determines the heat release for the annealing processes at different linear heating rates.
S1359835X13001875:116	The size-inhabitation of the larger particles ensures that the Area Disorder cannot exceed that expected for a set of point-like particles (f=0).
S1359835X13001875:105	In HRB a collection of N particles are divided into two populations, numbering p1N and p2N, with p1 and p2 being positive unit-less values satisfying p1+p2=1.
S1367912013002277:14	Samples were collected from outcrops, soils, fluvial, lake, and marine sediment environments.
S1367912013002277:82	For a detailed description of analysis methods and precision see Lee et al. (1997).
S1386142513006823:47	FTIR spectra of the compounds were recorded as KBr-pellets within the range 4000-400cm-1 using a Perkin-Elmer 16PC FTIR spectrometer.
S1386142513006823:4	Synthesis, spectroscopic, coordination and biological activities of some organometallic complexes derived from thio-Schiff base ligands
S1387700313001822:25	The chirality delivery through non-covalent interactions has been studied based on the viewpoint of supramolecular chemistry [9].
S1387700313001822:55	This negative CE demonstrates that the chiral of GMP delivers to GMP-Co(II) compounds and GMP mainly keeps the β-anomers in the complex.
S1388248113001951:77	Although some voltage plateaus are still observed for NaFe0.5Co0.5O2, our in-situ XRD study revealed that a two phase region for NaFe0.5Co0.5O2 existed only at the beginning of charge process as O3-P3 phase transition [15].
S1388248113001951:26	The electrode reversibility is, however, significantly deteriorated by extending higher voltage above 3.5V.
S1389128612002496:70	The first category represents the LDDoS attacks whose aggregate attack period is equally distributed among n flows.
S1389128612002496:28	Our contributions are summarized as follows:•
S1550413113004920:65	In keeping with these observations, Mnx1 null mice have aberrant motor neuron differentiation but are difficult to study as they die at birth due to respiratory paralysis, which probably results from failure in the development of the phrenic nerve (Thaler et al., 1999).
S1550413113004920:127	A.T.H. and S.E. are both employed as core members of the Exeter NIHR Clinical Research Facility.
S1570870512000637:325	The rage of these devices was about 10m and encounters were uploaded to a base station regularly (but the base station did not have any role in forwarding).
S1570870512000637:451	All protocols manage highest availability over the Infocom 2006 trace [33] because this trace is highly social (allows repeating patterns of connectivity) that allows for accurate social/connectivity predictions that CafRep, EBR [26], RR [38] and SnF [37] use.
S175058361300203X:130	The slight increase in CO2 saturation with the isothermal temperature of 38°C follows from the small increase in pressure that, in turn, is due to a lower CO2 density.
S175058361300203X:138	The resulting difference between the scenarios in Vp is less than 5m/s.
S1750583613004192:262	The maximum ice load does not need to be located directly above the Utsira Formation as, for a hydraulically connected aquifer, a lateral transmission of pressure will occur for tens of kilometers.
S1750583613004192:114	However, the crucial distinction between our model and other approaches is our assumption concerning the dominant physics of the flow process.
S1873506113001116:264	Interestingly, although comparable amount of HPCs and CFU was derived from hiPSCs expanded in bioreactor as in adhesion, HPCs derived from TNC1 in bioreactor generated a considerably higher proportion of cells in erythroid lineage rather than in myelocyte lineage.
S1873506113001116:96	Cryopreservation and recovery of hiPSCs in suspension culture
S1873506114000075:119	Peptides (22-34 peptides; GSPAINVAMHVFR) derived from ATTR had a molecular mass of 700m/z.
S1873506114000075:161	Production of wild-type TTR and ATTR Val30Met by differentiated hepatocyte-like cells
S2211124712002884:61	The first step, induction of multilineage differentiation and embryoid body (EB) formation, was inefficient when iPSCs were maintained on feeder cells.
S2211124712002884:49	The total expression of each reprogramming factor was not different from that of the endogenous gene (Figures 1A-1C), indicating complete transgene silencing.
S2211124713006475:202	An Experimental Platform for the Efficient Generation of Human Cranial Placodes In Vitro
S2211124713006475:84	We also observed significant transcriptional changes in WNT and BMP pathway components such as an increase in the WNT pathway inhibitor DKK-1 and BMP antagonists, such as GREMLIN-1 and BAMBI (Figures 2B-2D), which are known transcriptional targets of BMP signaling (Grotewold et al., 2001).
S2211753914000025:18	Specimens sent to surgical pathology demonstrated granulation tissue with chronic inflammation.
S2211753914000025:52	We describe a confined local Phialemonium infection in the tympanomastoid cavity without any systemic manifestations.
S2213158213000302:39	In PSP atrophy is severe in the upper brain stem and superior cerebellar peduncle, with moderate atrophy of medial prefrontal cortex, insula/frontal operculum, cingulate cortex, precentral gyrus and superior parietal lobule (Brenneis et al., 2004; Chiu et al., 2012; Ghosh et al., 2012; Nicoletti et al., 2008).
S2213158213000302:96	Analyses were conducted on the waveforms from the primary orientation of the regional sources.
S2213158213000582:97	After a band-pass (0.1-330Hz) and 60Hz notch filter, MEG signals were digitized at 1000Hz.
S2213158213000582:103	To coregister MEG and sMRI data, three anatomical landmarks (nasion and right and left preauriculars) as well as an additional 150+ points on the scalp and face were digitized for each subject using the Probe Position Identification (PPI) System (Polhemus, Colchester, VT).
S2213158213001253:118	In this paper, we use voxel for 3-dimensional images and pixel for 2-dimensional images.
S2213158213001253:229	Finally, we concatenated the vectors from the three contrast maps, and obtained a 1474-dimension vector for each subject.
S2213671113000672:82	Most strikingly, there was a mutant gene-dose-dependent increase in caspase-cleaved TAU fragments, as determined by the caspase-cleaved TAU-specific antibody C3 (Gamblin et al., 2003; Guillozet-Bongaarts et al., 2005), in neurons derived from the isogenic TAU-A152T-iPSCs (Figures 4J and 4K).
S2213671113000672:88	Genetic Correction of TAU-A152T Eliminates the Detrimental Effects of the Mutation on Different Subtypes of Neurons
S2213671113000738:63	Intriguingly, the serum level of IFN-γ temporarily increased at 2 months after the transplant in three animals (Figure 3C).
S2213671113000738:53	Autografts Elicit Only a Minimal Immune Response in the Primate Brain
S2213671113000908:6	Here, we have addressed this limitation for the endodermal lineage by developing a defined culture system to expand and differentiate human foregut stem cells (hFSCs) derived from hPSCs. hFSCs can self-renew while maintaining their capacity to differentiate into pancreatic and hepatic cells.
S2213671113000908:128	However, hFSCs could also have the unique capacity to generate lung/thyroid cells while they have lost their capacity to generate gut cells.
S2213671113000921:84	Subsequent differentiation to AFE was achieved through addition of bone morphogenetic protein (BMP) antagonists noggin and SB431542 (stage 2).
S2213671113000921:59	The GFP+ cells grew as compact colonies characteristic of the undifferentiated state, whereas the GFP- cells had a fibroblast-like morphology typical of differentiating hESCs (Figure S2F).
