id,Input Sentence
0,	Assume that L is a line bundle.
,"amorphous organic matter"	"is"	"AOM"	,(+,CT),NONE
,"> 250μm fractions found through light microscope analysis to be dominated by amorphous organic matter"	"were analysed for"	"δ13C"	,(+,CT),NONE

9,"	Both taxa are produced in abundance by a variety of coniferous plants, and are typical in the Paleogene of the northern UK and Greenland region (Boulter and Manum, 1989; Jolley and Whitham, 2004; Jolley and Morton, 2007), as well as mid-latitude North America (Smith et al., 2007) and Arctic Canada (Greenwood and Basinger, 1993)."
,"taxa"	"are produced in abundance by variety of"	"coniferous plants"	,(+,CT),NONE
,"taxa"	"are produced in"	"abundance"	,(+,CT),NONE
,"taxa"	"are typical in Paleogene of"	"northern UK"	,(+,CT),NONE
,"taxa"	"are typical in Paleogene of"	"Greenland region"	,(+,CT),NONE
,"taxa"	"are"	"typical"	,(+,CT),NONE
,"Greenland region"	"is"	"Boulter"	,(+,CT),NONE
,"Greenland region"	"is"	"Manum"	,(+,CT),NONE
,"Greenland region"	"is"	"1989"	,(+,CT),NONE
,"Boulter"	"is"	"Greenland region"	,(+,CT),NONE
,"Manum"	"is"	"Greenland region"	,(+,CT),NONE
,"1989"	"is"	"Greenland region"	,(+,CT),NONE
,"Arctic Canada"	"is"	"Greenwood"	,(+,CT),NONE
,"Arctic Canada"	"is"	"Basinger"	,(+,CT),NONE
,"Greenwood"	"is"	"Arctic Canada"	,(+,CT),NONE
,"Basinger"	"is"	"Arctic Canada"	,(+,CT),NONE

10,"	Diatom δ30Si is a proxy for diatom silicic acid utilisation (Fig. 2a) because frustule growth preferentially incorporates 28Si over 30Si with 30ε∼-1.1‰ (De La Rocha et al., 1997)."
,"Diatom δ30Si"	"is proxy for"	"diatom silicic acid utilisation"	,(+,CT),NONE
,"Diatom δ30Si"	"is"	"proxy"	,(+,CT),NONE
,"diatom silicic acid utilisation"	"is"	"Fig. 2a"	,(+,CT),NONE
,"frustule growth"	"incorporates"	"28Si over 30Si with 30ε ∼ QUANT_O_1 ‰"	,(+,CT),NONE

11,"	Today, incomplete nutrient utilisation makes this a region of CO2 venting to the atmosphere (Marinov et al., 2006)."
,"incomplete nutrient utilisation"	"makes region of CO2 venting to atmosphere"	"Today"	,(+,CT),NONE
,"CO2"	"be venting to"	"atmosphere"	,(+,CT),NONE

12,"	In the Site 1260 record, a trend from ∼0.6 to 1.0 in the lowest samples is followed by a shift in the opposite direction, toward the unradiogenic end-member, but the values are variable and some spikes to >1 (radiogenic) persist."
,"trend from QUANT_S_1 to QUANT_S_2 in lowest samples"	"is followed by shift in opposite direction In"	"Site"	,(+,CT),NONE
,"trend from QUANT_S_1 to QUANT_S_2 in lowest samples"	"is followed by shift in opposite direction toward"	"unradiogenic end-member"	,(+,CT),NONE
,"trend from QUANT_S_1 to QUANT_S_2 in lowest samples"	"is followed by shift in"	"opposite direction"	,(+,CT),NONE
,"values"	"are"	"variable"	,(+,CT),NONE
,"QUANT_S_1"	"is"	"radiogenic"	,(+,CT),NONE
,"QUANT_S_1 spikes to QUANT_S_2"	"persist"	,(+,CT),NONE

13,"	For the purpose of comparing δ13Corg and Osi records between different localities, however, we believe the chronostratigraphic framework is sufficient to recognize differences in the timing of key events."
,"chronostratigraphic framework"	"is"	"sufficient to recognize differences in timing of key events"	,(+,CT),(we, (+,PS))

14,"	However, there may be several reasons for the various discrepancies noted, primarily that MTDATA calculates the reactions at equilibrium, and assumes that the reactions go to completion, when in reality, this may not be the case."
,"MTDATA"	"However there be QUANT_R_1 reasons for QUANT_R_2 discrepancies calculates primarily reactions at"	"equilibrium"	,(+,PS),NONE
,"MTDATA"	"However there be QUANT_R_1 reasons for QUANT_R_2 discrepancies calculates reactions at"	"equilibrium"	,(+,PS),NONE
,"However there may be QUANT_S_1 reasons for QUANT_S_2 discrepancies"	"MTDATA calculates primarily reactions at"	"equilibrium"	,(+,CT),NONE
,"However there may be QUANT_S_1 reasons for QUANT_S_2 discrepancies"	"MTDATA calculates reactions at"	"equilibrium"	,(+,CT),NONE
,"reactions"	"go to"	"completion"	,(+,CT),NONE
,"this"	"be case in"	"reality"	,(-,PS),NONE
,"this"	"be"	"case"	,(-,PS),NONE

15,"	Ca-derived sorbents sampled before, during and after tests were analysed for changes in morphology using environmental scanning electron microscopy (SEM) and electron dispersive spectroscopy (EDS)."
,"Ca-derived sorbents during tests"	"be sampled"	"before"	,(+,CT),NONE
,"Ca-derived sorbents after"	"be sampled"	"before"	,(+,CT),NONE
,"Ca-derived sorbents sampled before during tests"	"were analysed for changes in"	"morphology using environmental scanning electron microscopy"	,(+,CT),NONE
,"Ca-derived sorbents sampled before during tests"	"were analysed for changes in"	"morphology using electron dispersive spectroscopy"	,(+,CT),NONE
,"Ca-derived sorbents sampled before after"	"were analysed for changes in"	"morphology using environmental scanning electron microscopy"	,(+,CT),NONE
,"Ca-derived sorbents sampled before after"	"were analysed for changes in"	"morphology using electron dispersive spectroscopy"	,(+,CT),NONE
,"changes in morphology"	"be using"	"environmental scanning electron microscopy"	,(+,CT),NONE
,"changes in morphology"	"be using"	"electron dispersive spectroscopy"	,(+,CT),NONE
,"environmental scanning electron microscopy"	"is"	"SEM"	,(+,CT),NONE
,"electron dispersive spectroscopy"	"is"	"SEM"	,(+,CT),NONE
,"electron dispersive spectroscopy"	"is"	"EDS"	,(+,CT),NONE

16,"	The trajectory of flyby E3 projected into the x-z-plane is slightly different compared to E4, E5, and E6."
,"trajectory of flyby E3"	"projected into"	"x-z-plane"	,(+,CT),NONE
,"trajectory of flyby E3 projected into x-z-plane"	"is"	"different"	,(+,CT),NONE
,"trajectory of flyby E3 projected into x-z-plane"	"is different"	"compared to E4"	,(+,CT),NONE
,"trajectory of flyby E3 projected into x-z-plane"	"is different"	"compared to E5"	,(+,CT),NONE
,"trajectory of flyby E3 projected into x-z-plane"	"is different"	"compared to E6"	,(+,CT),NONE

17,"	Electrons with energies greater than the resonance energy drift opposite to the direction of the plasma motion (corotation), relative to the moon."
,"plasma motion"	"is"	"corotation"	,(+,CT),NONE

18,	A limited number of K′ and Hcont images provide especially useful constraints on the vertical structures of the two features when paired with nearly simultaneous H images.
,"limited number of K QUANT_S_1"	"provide useful constraints on vertical structures of QUANT_R_1 features when paired with"	"nearly simultaneous H images"	,(+,CT),NONE
,"limited number of Hcont images"	"provide useful constraints on vertical structures of QUANT_R_1 features when paired with"	"nearly simultaneous H images"	,(+,CT),NONE
,"limited number of K QUANT_S_1"	"provide"	"especially useful constraints on vertical structures of QUANT_O_1 features"	,(+,CT),NONE
,"limited number of Hcont images"	"provide"	"especially useful constraints on vertical structures of QUANT_O_1 features"	,(+,CT),NONE

19,"	These features reached pressures in the 300-500mb range (Sromovsky et al., 2007), which is well above the 1.2-bar methane condensation level (Sromovsky et al., 2011)."
,"features"	"reached pressures in"	"300-500mb range"	,(+,CT),NONE
,"features"	"reached"	"pressures"	,(+,CT),NONE
,"which"	"is above"	"1.2-bar methane condensation level"	,(+,CT),NONE
,"which"	"is"	"well"	,(+,CT),NONE

20,	A second possibility is that the wake receives accelerated or escaped photoelectrons from Rhea's charged surface.
,"A second possibility"	"is that wake receives accelerated photoelectrons from"	"Rhea 's charged surface"	,(+,CT),NONE
,"A second possibility"	"is that wake receives escaped photoelectrons from"	"Rhea 's charged surface"	,(+,CT),NONE
,"wake"	"be receives accelerated photoelectrons from"	"Rhea 's charged surface"	,(+,CT),NONE
,"wake"	"be receives escaped photoelectrons from"	"Rhea 's charged surface"	,(+,CT),NONE
,"Rhea"	"has"	"charged surface"	,(+,CT),NONE

21,	Phase Space Density (PSD) analysis
,"Phase Space Density"	"is"	"PSD"	,(+,CT),NONE

22,"	We have run all simulations for solar minimum conditions (May 15, 2008), identical to the fluxes used by Galand et al. (2009, 2011)."
,"We"	"have run QUANT_R_1 simulations for solar minimum conditions"	"identical to fluxes used by Galand et"	,(+,CT),NONE
,"We"	"have run QUANT_O_1 simulations for"	"solar minimum conditions"	,(+,CT),NONE
,"fluxes"	"be used by"	"Galand et"	,(+,CT),NONE

23,"	The effects of the feedback on the magnetosphere did however have little influence on the atmosphere behaviour, which is the focus of our study here."
,"effects of feedback on magnetosphere"	"did have little influence on"	"atmosphere"	,(+,CT),NONE
,"behaviour"	"is focus of"	"study here"	,(+,CT),NONE
,"behaviour"	"is"	"focus"	,(+,CT),NONE
,"our"	"has"	"study"	,(+,CT),NONE

24,"	However, the non-detection is based on only a few observations that have proven difficult to analyze, and the search should continue."
,"non-detection"	"is based on"	"only QUANT_O_1 observations"	,(+,CT),NONE
,"only QUANT_S_1 observations"	"have proven"	"difficult to analyze"	,(+,CT),NONE
,"search"	"continue"	,(+,PS),NONE

25,	The detections of the transits in the C II 1335Å and Si III 1206.5Å lines were compared with observations of other lines such as Si IV 1395Å in which the transit was not detected.
,"Si"	"is"	"other line"	,(+,CT),NONE
,"detections of transits in C QUANT_S_1 1335Å"	"were compared with observations of"	"Si QUANT_O_1 1395Å"	,(+,CT),NONE
,"detections of transits in Si III QUANT_S_1 Å lines"	"were compared with observations of"	"Si QUANT_O_1 1395Å"	,(+,CT),NONE
,"transit"	"was detected"	"Si QUANT_O_1 1395Å"	,(-,CT),NONE

26,"	The dominant Si species is then SiO, which dissociates at a similar pressure level as the other molecules."
,"dominant Si species"	"is"	"SiO"	,(+,CT),NONE
,"SiO"	"dissociates at similar pressure level as"	"other molecules"	,(+,CT),NONE

27,"	In the absence of heavy elements, H3+ forms near the base of the model and subsequent infrared cooling balances the EUV heating rates."

28,	Low atmospheric temperatures and a small inventory of oxygen and ozone limit the gas phase production rate of perchlorate.
,"Low atmospheric temperatures"	"limit gas phase production rate of"	"perchlorate"	,(+,CT),NONE
,"small inventory of oxygen"	"limit gas phase production rate of"	"perchlorate"	,(+,CT),NONE
,"small inventory of ozone"	"limit gas phase production rate of"	"perchlorate"	,(+,CT),NONE

29,"	These concentrations are both many orders of magnitude lower than the observed abundance at the Phoenix landing site: 0.4-0.6wt.% (Hecht et al., 2009)."

30,"	 Thus there are, up to associativity, only finitely many such q. □"

31,"	In [46, §5(d)], Rehm gives examples for bounded maximal orders E, that are prime and satisfy the ACC on divisorial two-sided E-ideals, but do not satisfy the ACC on divisorial left E-ideals or the ACC on divisorial right E-ideals."
,"Rehm"	"gives examples for bounded maximal orders E In"	"-LSB- QUANT_O_1 d -RSB-"	,(+,CT),NONE
,"Rehm"	"gives examples for"	"bounded maximal orders E"	,(+,CT),NONE
,"that"	"are prime ACC on"	"divisorial two-sided E-ideals"	,(+,CT),NONE
,"that"	"do satisfy ACC on"	"divisorial left E-ideals"	,(-,CT),NONE
,"that"	"do satisfy"	"ACC on ACC on divisorial right E-ideals"	,(-,CT),NONE
,"that"	"satisfy"	,(+,CT),NONE

32,	This extreme intensity enhancement is an effect of the large charge polarization of the [Fe(Cat)3]3- complex due to the strongly positive Fe3+ being surrounded by three negatively charged catechols.
,"extreme intensity enhancement"	"is effect of"	"large charge"	,(+,CT),NONE
,"extreme intensity enhancement"	"is"	"effect"	,(+,CT),NONE
,"-LSB- Fe -RSB-"	"is"	"Cat"	,(+,CT),NONE

33,	CRM measurements were also performed with the oxidized iron surface.
,"CRM measurements"	"were performed with"	"oxidized iron surface"	,(+,CT),NONE

34,"	Then Eout∈ΦTime(Ein), iff the following holds:-"
,"Eout ∈ ΦTime"	"is"	"Ein"	,(+,CT),NONE

35,"	Every memory flag is just an SR-latch with dominant reset, whose functional equivalents are also depicted in Fig. 11."
,"QUANT_S_1 memory flag"	"is"	"SR-latch"	,(+,CT),NONE
,"QUANT_S_1 memory flag"	"is SR-latch with"	"dominant reset"	,(+,CT),NONE
,"dominant reset"	"has"	"functional equivalents"	,(+,CT),NONE
,"dominant reset functional equivalents"	"are depicted in"	"Fig. 11"	,(+,CT),NONE

36,"	As -ν+1t+(ν+1)2t2+1=t2+(ν+1)2-(ν+1)t, the lower bound again is equivalent to Rν>Gν+1,ν+1 for ν>-1."
,"ν QUANT_S_1 t"	"is"	"2t2 QUANT_O_1 ="	,(+,CT),NONE
,"t"	"is"	"ν QUANT_O_1"	,(+,CT),NONE
,"t"	"is"	"lower"	,(+,CT),NONE
,"t"	"is equivalent to"	"Rν > Gν QUANT_O_1"	,(+,CT),NONE
,"t"	"is"	"equivalent"	,(+,CT),NONE
,"Rν > Gν QUANT_S_1"	"is ν QUANT_O_1 for"	"ν"	,(+,CT),NONE

37,"	Let ξ=t2+β2-β so that t≠0 iff ξ>0,t2=(ξ+β)2-β2=ξ(ξ+2β),ν+t2+β2=2(ν+1)+ξ, and the inequality becomes 0<P(ξ)=γξ4+γ(4(ν+1)+2β)ξ3+(1+8(ν+1)βγ+4(ν+1)2γ-1)ξ2+(4(ν+1)+8(ν+1)2βγ-2(ν+1)-2β)ξ+(4(ν+1)2-4(ν+1)2)."
,"t QUANT_S_1 iff ξ > QUANT_S_2"	"is"	"t2 =-LRB- ξ"	,(+,CT),NONE
,"t QUANT_S_1 iff ξ > QUANT_S_2"	"is"	"β"	,(+,CT),NONE
,"ξ"	"is"	"ξ QUANT_O_1 β"	,(+,CT),NONE
,"ν"	"is"	"ξ QUANT_O_1 β"	,(+,CT),NONE
,"ν t2 + β2"	"is"	"ξ QUANT_O_1 β"	,(+,CT),NONE
,"ν β2"	"is"	"ξ QUANT_O_1 β"	,(+,CT),NONE
,"inequality"	"is"	"ξ QUANT_O_1 β"	,(+,CT),NONE
,"QUANT_S_1"	"is"	"ν QUANT_O_1"	,(+,CT),NONE
,"ξ"	"is"	"ν QUANT_O_1"	,(+,CT),NONE
,"2-β2 ="	"t QUANT_R_1 iff ξ > QUANT_R_2 becomes"	"QUANT_O_1 < P = γξ4 ξ3 βγ QUANT_O_2 2γ-1"	,(+,CT),NONE
,"2-β2 ="	"t QUANT_R_1 iff ξ > QUANT_R_2 becomes"	"QUANT_O_1 < P = γ ξ3 + QUANT_O_2 ν QUANT_O_3 βγ QUANT_O_4 2γ-1"	,(+,CT),NONE
,"2-β2 ="	"t QUANT_R_1 iff ξ > QUANT_R_2 becomes"	"QUANT_O_1 < P = QUANT_O_2 ν QUANT_O_3 βγ QUANT_O_4 2γ-1"	,(+,CT),NONE
,"t QUANT_S_1 iff ξ > QUANT_S_2"	"2-β2 = becomes"	"QUANT_O_1 < P = γξ4 ξ3 βγ QUANT_O_2 2γ-1"	,(+,CT),NONE
,"t QUANT_S_1 iff ξ > QUANT_S_2"	"2-β2 = becomes"	"QUANT_O_1 < P = γ ξ3 + QUANT_O_2 ν QUANT_O_3 βγ QUANT_O_4 2γ-1"	,(+,CT),NONE
,"t QUANT_S_1 iff ξ > QUANT_S_2"	"2-β2 = becomes"	"QUANT_O_1 < P = QUANT_O_2 ν QUANT_O_3 βγ QUANT_O_4 2γ-1"	,(+,CT),NONE
,"QUANT_S_1 < P"	"is"	"ξ"	,(+,CT),NONE
,"γξ4"	"is"	"QUANT_O_1 β"	,(+,CT),NONE
,"γ"	"is"	"QUANT_O_1 β"	,(+,CT),NONE
,"γξ4 ξ3 βγ QUANT_S_1 2γ-1"	"is"	"ξ2"	,(+,CT),NONE
,"γξ4 ξ3 βγ QUANT_S_1 2γ-1"	"is"	"QUANT_O_1 ξ"	,(+,CT),NONE
,"γ ξ3 + QUANT_S_1 ν QUANT_S_2 βγ QUANT_S_3 2γ-1"	"is"	"ξ2"	,(+,CT),NONE
,"γ ξ3 + QUANT_S_1 ν QUANT_S_2 βγ QUANT_S_3 2γ-1"	"is"	"QUANT_O_1 ξ"	,(+,CT),NONE
,"QUANT_S_1 ν QUANT_S_2 βγ QUANT_S_3 2γ-1"	"is"	"ξ2"	,(+,CT),NONE
,"QUANT_S_1 ν QUANT_S_2 βγ QUANT_S_3 2γ-1"	"is"	"QUANT_O_1 ξ"	,(+,CT),NONE
,"ν QUANT_S_1 2βγ-2"	"is"	"ν QUANT_O_1"	,(+,CT),NONE

38,"	Let Q(t,ξ) be the symmetriser of the weakly hyperbolic matrix A(t,ξ) defined above."
,"t"	"is"	"ξ"	,(+,CT),NONE
,"Q"	"be"	"symmetriser"	,(+,CT),NONE

39,"	These two matrices are both symmetric with polynomial entries in τ1〈ξ〉-1,…,τm〈ξ〉-1 and τ1|ξ|-1,…,τm|ξ|-1, respectively, as defined in [6, Section 3]."
,"both symmetric with polynomial entries in τ1 ... ... τm | ξ | respectively as defined in"	"is"	"τm 〈 ξ QUANT_O_1"	,(+,CT),NONE
,"both symmetric with polynomial entries in τ1 ... ... τm | ξ | respectively as defined in"	"is"	"QUANT_O_1"	,(+,CT),NONE

40,"	Kempner [10] and Keller and Olson [9].) The number of polynomial permutations on Zp2 is|G2|=p!(p-1)ppp, and for n⩾3 the number of polynomial permutations on Zp2 is|Gn|=p!(p-1)pppp∑k=3nβ(k)."
,"3nβ"	"is"	"k"	,(+,CT),NONE

41,"	We denote by (H,∘) the group of units of E."
,"We"	"denote by H"	"group of units of E."	,(+,CT),NONE
,"We"	"denote"	"group of units of E."	,(+,CT),NONE
,"H"	"is"	"∘"	,(+,CT),NONE

42,	Notice that c does not depend on i.
,"c"	"does depend on"	"i."	,(-,CT),NONE

43,"	Since Z[X] is obviously a subring of Int(Mnp(Z),Mn(Z)), we have:Int(Mnp(Z),Mn(Z))(M)={f(M)|f∈Int(Mnp(Z),Mn(Z))}=Z[M]."
,"Z"	"is"	"-LSB- X -RSB-"	,(+,CT),NONE
,"Z"	"is"	"subring"	,(+,CT),NONE
,"Z"	"is subring of"	"Int"	,(+,CT),NONE
,"Mnp"	"is"	"Mn"	,(+,CT),NONE
,"Mnp"	"is"	"Z"	,(+,CT),NONE
,"Mn"	"is"	"Z"	,(+,CT),NONE
,"we"	"have"	,(+,CT),NONE
,"Int"	"is"	"M"	,(+,CT),NONE
,"f"	"is"	"M"	,(+,CT),NONE
,"Z"	"is"	"-LSB- M -RSB-"	,(+,CT),NONE

44,	Recruitment of adults aged 40 to 69years was carried out through National Health Service registers and aimed to be inclusive and as representative as possible of the UK population.
,"Recruitment of adults aged"	"was carried out through"	"National Health Service"	,(+,CT),NONE

45,"	There is evidence that neurotic traits are stronger in tinnitus patients [20], particularly in those with higher levels of tinnitus annoyance, and recent evidence that neuroticism may predict the development of severe tinnitus in patients already experiencing some tinnitus [21]."
,"evidence that neurotic traits are stronger in tinnitus patients particularly in those with higher levels of tinnitus annoyance"	"There is"	,(+,CT),NONE
,"evidence recent evidence that neuroticism may predict development of severe tinnitus in patients already experiencing QUANT_S_1 tinnitus"	"There is"	,(+,CT),NONE
,"neurotic traits"	"are stronger in"	"tinnitus patients"	,(+,CT),NONE
,"neurotic traits"	"are recent evidence that neuroticism predict development of severe tinnitus in patients experiencing QUANT_R_1 tinnitus in"	"tinnitus patients"	,(+,PS),NONE
,"neurotic traits"	"are stronger particularly in"	"those with higher levels of tinnitus annoyance"	,(+,CT),NONE
,"neurotic traits"	"are recent evidence that neuroticism predict development of severe tinnitus in patients experiencing QUANT_R_1 tinnitus particularly in"	"those with higher levels of tinnitus annoyance"	,(+,PS),NONE
,"neurotic traits"	"are"	"stronger"	,(+,CT),NONE
,"neuroticism"	"predict"	"development of severe tinnitus in patients already experiencing QUANT_O_1 tinnitus"	,(+,PS),NONE
,"patients"	"be experiencing"	"QUANT_O_1 tinnitus"	,(+,CT),NONE

46,"	An additional, longer Mg-F interaction completes a distorted, axially extended octahedron (Fig. 5)."
,"octahedron"	"is"	"Fig. QUANT_O_1"	,(+,CT),NONE

47,	The nitride halides are essentially ionic and exhibit weak temperature independent paramagnetic behaviour.
,"nitride halides"	"are"	"ionic"	,(+,CT),NONE
,"nitride halides"	"exhibit"	"weak temperature independent paramagnetic behaviour"	,(+,CT),NONE

48,"	The spectral theory of matrix powers and the theory of matrix core is developed in max algebra and in nonnegative linear algebra simultaneously wherever possible, in order to unify and compare both versions of the same theory."
,"spectral theory of matrix powers"	"is developed in"	"max algebra"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in"	"nonnegative linear algebra"	,(+,CT),NONE
,"theory of matrix core"	"is developed in"	"max algebra"	,(+,CT),NONE
,"theory of matrix core"	"is developed in"	"nonnegative linear algebra"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in max algebra wherever"	"possible"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in nonnegative linear algebra wherever"	"possible"	,(+,CT),NONE
,"theory of matrix core"	"is developed in max algebra wherever"	"possible"	,(+,CT),NONE
,"theory of matrix core"	"is developed in nonnegative linear algebra wherever"	"possible"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in max algebra in to unify versions of"	"same theory"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in max algebra"	"compare"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in nonnegative linear algebra in to unify versions of"	"same theory"	,(+,CT),NONE
,"spectral theory of matrix powers"	"is developed in nonnegative linear algebra"	"compare"	,(+,CT),NONE
,"theory of matrix core"	"is developed in max algebra in to unify versions of"	"same theory"	,(+,CT),NONE
,"theory of matrix core"	"is developed in max algebra"	"compare"	,(+,CT),NONE
,"theory of matrix core"	"is developed in nonnegative linear algebra in to unify versions of"	"same theory"	,(+,CT),NONE
,"theory of matrix core"	"is developed in nonnegative linear algebra"	"compare"	,(+,CT),NONE

49,"	Based on this, we describe the set of extremal rays of the core."
,"we"	"describe set of extremal rays of core Based on"	"this"	,(+,CT),NONE
,"we"	"describe"	"set of extremal rays of core"	,(+,CT),NONE

50,	The illite crystallinity proxies both show sharp increases above the depositional hiatus between 760cmbsf and 835cmbsf from 0.26 to 0.37 FHWM ∆2°θ and 0.40 to 0.57 I-Breadth ∆2°θ (i.e. lower crystallinity).
,"illite crystallinity proxies"	"show sharp increases above depositional hiatus between QUANT_R_1 and QUANT_R_2 from"	"QUANT_O_1 to QUANT_O_2 FHWM ∆ QUANT_O_3 θ"	,(+,CT),NONE
,"illite crystallinity proxies"	"show sharp increases above depositional hiatus between QUANT_R_1 and QUANT_R_2 from"	"QUANT_O_1 to QUANT_O_2"	,(+,CT),NONE
,"QUANT_S_1 θ"	"is"	"lower crystallinity"	,(+,CT),NONE

51,"	At Indus-23 a possible depositional hiatus in the Mid Holocene is identified at ~640cmbsf below the present day seafloor (Fig. 4) (Limmer et al., 2012)."
,"possible depositional hiatus in Mid Holocene"	"is identified at QUANT_R_1 640cmbsf below the present day seafloor At"	"Indus-23"	,(+,CT),NONE
,"possible depositional hiatus in Mid Holocene"	"is identified at QUANT_O_1 640cmbsf below"	"the present day seafloor"	,(+,CT),NONE
,"the present day seafloor"	"is"	"Fig. QUANT_O_1"	,(+,CT),NONE

52,	The negative relationships observed between both root dry weight and microbial biomass-C with aggregate stability were not anticipated.
,"negative relationships"	"be observed between root dry weight and microbial biomass-C with"	"aggregate stability"	,(+,CT),NONE
,"negative relationships observed between root dry weight and microbial biomass-C with aggregate stability"	"were anticipated"	,(-,CT),NONE

53,	Soil aggregate characteristics

54,"	All model normals, and all normals determined using the two approaches described below, were defined to point out into magnetosheath, away from Saturn."
,"QUANT_S_1 model normals"	"were defined to point out into magnetosheath away from"	"Saturn"	,(+,CT),NONE
,"QUANT_S_1 normals determined using QUANT_S_2 approaches described below"	"were defined to point out into magnetosheath away from"	"Saturn"	,(+,CT),NONE
,"QUANT_S_1 model normals"	"were defined to point out into"	"magnetosheath"	,(+,CT),NONE
,"QUANT_S_1 normals determined using QUANT_S_2 approaches described below"	"were defined to point out into"	"magnetosheath"	,(+,CT),NONE

55,"	At some of the crossings the minimum variance direction was poorly defined, particularly in the cases of a ratio approaching 1."
,"minimum variance direction"	"was defined in cases of"	"ratio approaching QUANT_O_1"	,(+,CT),NONE
,"ratio"	"be approaching"	"QUANT_O_1"	,(+,CT),NONE

56,"	The standard observing mode used during the period considered in this study was a scan in decreasing energy through 96 equal logarithmic steps, observing for 250ms at each."
,"standard observing mode"	"be used during period considered in"	"study"	,(+,CT),NONE
,"period"	"be considered in"	"study"	,(+,CT),NONE
,"standard observing mode used during period considered in study"	"was scan in decreasing energy through QUANT_R_1 equal logarithmic steps"	"observing for 250ms at QUANT_O_1"	,(+,CT),NONE
,"standard observing mode used during period considered in study"	"was scan in decreasing energy through"	"QUANT_O_1 equal logarithmic steps"	,(+,CT),NONE
,"standard observing mode used during period considered in study"	"be observing for 250ms at"	"QUANT_O_1"	,(+,CT),NONE

57,	The resulting data were then divided into four bins depending upon the direction of travel of the spacecraft;•
,"resulting data"	"were divided into QUANT_R_1 bins"	"depending upon direction of travel of spacecraft"	,(+,CT),NONE
,"resulting data"	"were divided into"	"QUANT_O_1 bins"	,(+,CT),NONE

58,"	For the Earth, modelling by Newell et al. (2009), shows that diffuse aurora may account for 70% of the precipitating particle energy flux into the high-latitude ionosphere."
,"diffuse aurora"	"account for QUANT_R_1 of precipitating particle energy flux into"	"high-latitude ionosphere"	,(+,PS),(modelling by Newell et, (+,CT))
,"diffuse aurora"	"account for QUANT_O_1 of"	"precipitating particle energy flux"	,(+,PS),(modelling by Newell et, (+,CT))

59,"	Previous studies of ""inverted-V"" signatures using ELS and IMA were restricted by an earlier energy table of IMA before May 2007, which did not adequately resolve ion measurements below 50 eV."
,"inverted-V signatures"	"be using"	"ELS"	,(+,CT),NONE
,"inverted-V signatures"	"be using"	"IMA"	,(+,CT),NONE
