id	Input Sentence	New Sentence		
10	"	Accurate clast size measurement is thwarted further (especially close to the source volcano) by the deposition of clasts that are outliers to the main size distribution (Bonadonna et al., 2013), such as ballistic bombs, which can be problematic to distinguish from pumices, especially when both are degraded."	"	Accurate clast size measurement is thwarted further (especially close to the source volcano) by the deposition of clasts that are outliers to the main size distribution , such as ballistic bombs, which can be problematic to distinguish from pumices, especially when both are degraded."	Neutral	Criticizing
	"Accurate clast size measurement	""is thwarted""	""further especially close to source volcano by deposition of clasts""	"			
	"clasts	""are outliers to main size distribution such as""	""ballistic bombs""	"			
	"clasts	""are""	""outliers""	"			
	"ballistic bombs	""be""	""problematic to distinguish from pumices""	"			
	"both	""are degraded""	""ballistic bombs""	"			
				
11	"	The European Food Safety Authority (EFSA) set the BMDL0.1 value at 0.3 - 8¦Ìg/kg bw/day in 2010 (European Food Safety Authority, 2010)."	"	The European Food Safety Authority (EFSA) set the BMDL0.1 value at 0.3 - 8¦Ìg/kg bw/day in 2010 ."	Neutral	Criticizing
	"European Food Safety Authority	""is""	""EFSA""	"			
	"European Food Safety Authority	""set / BMDL0 QUANT_R_1 value at QUANT_O_1 kg bw/day in""	""2010""	"			
	"European Food Safety Authority	""set / BMDL0 QUANT_R_1 value kg bw/day in""	""2010""	"			
				
12	"	Clashindarroch forest was established from 1930 onwards (Forestry Commission, 1964)."	"	Clashindarroch forest was established from 1930 onwards ."	Neutral	Criticizing
	"Clashindarroch forest	""was established from""	""1930 onwards""	"			
				
13	"	O'Donoghue et al. (2010) presented turbulent kinetic energy results for their smooth and rough beaches, but were limited by measuring one component of velocity (u) only."	"	O'Donoghue et al.  presented turbulent kinetic energy results for their smooth and rough beaches, but were limited by measuring one component of velocity (u) only."	Neutral	Criticizing
	"presented turbulent kinetic energy	""results for""	""smooth beaches""	"			
	"presented turbulent kinetic energy	""results for""	""rough beaches""	"			
	"presented turbulent kinetic energy	""were limited by measuring QUANT_O_1 component of""	""velocity only""	"			
	"their	""has""	""smooth beaches""	"			
	"their	""has""	""rough beaches""	"			
	"velocity	""is""	""u""	"			
				
14	"	According to Mutti et al. (1997, 1999) three depositional sequences, including shallow water to deeper water sediments, were differentiated in the northwestern Maiella."	"	According to Mutti et al.  three depositional sequences, including shallow water to deeper water sediments, were differentiated in the northwestern Maiella."	Neutral	Criticizing
	"shallow water	""is""	""depositional sequences""	"			
	"QUANT_S_1 depositional sequences including shallow water to deeper water sediments	""were differentiated in""	""Maiella""	"			
				
15	"	Tauxe et al. (2006) provide strong reasons for the flocculation of magnetic grains in saline water columns, which they argue leads to an insignificant lock-in depth (i.e. only a strict DRM is acquired)."	"	Tauxe et al.  provide strong reasons for the flocculation of magnetic grains in saline water columns, which they argue leads to an insignificant lock-in depth (i.e. only a strict DRM is acquired)."	Neutral	Criticizing
	"they	""argue flocculation of magnetic grains in saline water columns""	""leads to insignificant lock-in depth""	"			
	"only strict DRM	""is acquired""	"			
				
16	"	The FORC results and complementary mineral magnetic data (e.g. ¦ÖARM/SIRM ratios of approximately 160¡Á10-5A/m and MDFARM between 40 and 45mT) indicate that non-interacting single-domain magnetosomal magnetite is the dominant carrier of natural and laboratory induced magnetizations in the laminated sections of the Gyltigesj?n sediments (see Egli et al., 2010)."	"	The FORC results and complementary mineral magnetic data (e.g. ¦ÖARM/SIRM ratios of approximately 160¡Á10-5A/m and MDFARM between 40 and 45mT) indicate that non-interacting single-domain magnetosomal magnetite is the dominant carrier of natural and laboratory induced magnetizations in the laminated sections of the Gyltigesj?n sediments ."	Neutral	Criticizing
	"non-interacting single-domain magnetosomal magnetite	""is dominant carrier of""	""natural""	"			
	"non-interacting single-domain magnetosomal magnetite	""is dominant carrier of""	""laboratory""	"			
	"non-interacting single-domain magnetosomal magnetite	""is""	""dominant carrier""	"			
				
17	"	Typical examples of low default portfolios include high-quality corporate borrowers, banks, sovereigns and some categories of specialised lending (Van Der Burgt, 2007) but in some countries even certain retail lending portfolios could turn out to have very low numbers of defaults compared to the majority class."	"	Typical examples of low default portfolios include high-quality corporate borrowers, banks, sovereigns and some categories of specialised lending  but in some countries even certain retail lending portfolios could turn out to have very low numbers of defaults compared to the majority class."	Positive	Comparison
	"Typical examples of low default portfolios	""include""	""high-quality corporate borrowers""	"			
	"Typical examples of low default portfolios	""include""	""banks""	"			
	"Typical examples of low default portfolios	""include""	""sovereigns""	"			
	"Typical examples of low default portfolios	""include QUANT_O_1 categories of""	""specialised lending""	"			
	"even certain retail lending portfolios	""turn out to have very low numbers of defaults compared to majority class in""	""QUANT_O_1 countries""	"			
	"even certain retail lending portfolios	""turn out to have""	""very low numbers of defaults compared to majority class""	"			
				
18	"	Some use strong extractants which dissolved strongly bound P and hence does not necessarily represent the actual labile pool of P in soils and others use week extractants like water or week acids which might underestimate available soil P (Neyroud and Lischer, 2003)."	"	Some use strong extractants which dissolved strongly bound P and hence does not necessarily represent the actual labile pool of P in soils and others use week extractants like water or week acids which might underestimate available soil P ."	Neutral	Criticizing
	"water	""is""	""week extractant""	"			
	"week acids	""is""	""week extractant""	"			
	"QUANT_S_1	""use""	""strong extractants""	"			
	"strong extractants	""dissolved""	""strongly bound P""	"			
	"strong extractants	""does represent""	""actual labile pool of P in soils""	"			
	"others	""use week extractants like""	""water""	"			
	"others	""use week extractants like""	""week acids""	"			
	"others	""use""	""week extractants""	"			
	"water	""underestimate""	""available soil P""	"			
	"week acids	""underestimate""	""available soil P""	"			
				
19	"	For a detailed description of analysis methods and precision see Lee et al. (1997)."	"	For a detailed description of analysis methods and precision see Lee et al. ."	Neutral	Criticizing
				
20	"	In keeping with these observations, Mnx1 null mice have aberrant motor neuron differentiation but are difficult to study as they die at birth due to respiratory paralysis, which probably results from failure in the development of the phrenic nerve (Thaler et al., 1999)."	"	In keeping with these observations, Mnx1 null mice have aberrant motor neuron differentiation but are difficult to study as they die at birth due to respiratory paralysis, which probably results from failure in the development of the phrenic nerve ."		
	"Mnx1 null mice	""have aberrant motor neuron differentiation In keeping with""	""observations""	"			
	"Mnx1 null mice	""have""	""aberrant motor neuron differentiation""	"			
	"they	""die at""	""birth due to respiratory paralysis""	"			
	"they	""die""	"			
	"respiratory paralysis	""results from""	""failure in development of phrenic nerve""	"			
				
21	"	We also observed significant transcriptional changes in WNT and BMP pathway components such as an increase in the WNT pathway inhibitor DKK-1 and BMP antagonists, such as GREMLIN-1 and BAMBI (Figures 2B-2D), which are known transcriptional targets of BMP signaling (Grotewold et al., 2001)."	"	We also observed significant transcriptional changes in WNT and BMP pathway components such as an increase in the WNT pathway inhibitor DKK-1 and BMP antagonists, such as GREMLIN-1 and BAMBI (Figures 2B-2D), which are known transcriptional targets of BMP signaling ."	Positive	Comparison
	"increase	""is""	""bmp pathway component""	"			
	"We	""observed""	""significant transcriptional changes in increase in GREMLIN-1""	"			
	"We	""observed significant transcriptional changes in""	""BMP pathway components""	"			
	"We	""observed""	""significant transcriptional changes in increase in GREMLIN-1 and BAMBI""	"			
	"We	""observed""	""significant transcriptional changes in increase in BAMBI""	"			
	"GREMLIN-1	""is""	""Figures 2B-2D""	"			
	"BAMBI	""is""	""Figures 2B-2D""	"			
	"GREMLIN-1	""are known transcriptional targets of""	""BMP signaling""	"			
	"BAMBI	""are known transcriptional targets of""	""BMP signaling""	"			
				
22	"	In PSP atrophy is severe in the upper brain stem and superior cerebellar peduncle, with moderate atrophy of medial prefrontal cortex, insula/frontal operculum, cingulate cortex, precentral gyrus and superior parietal lobule (Brenneis et al., 2004; Chiu et al., 2012; Ghosh et al., 2012; Nicoletti et al., 2008)."	"	In PSP atrophy is severe in the upper brain stem and superior cerebellar peduncle, with moderate atrophy of medial prefrontal cortex, insula/frontal operculum, cingulate cortex, precentral gyrus and superior parietal lobule ."	Positive	Comparison
	"medial prefrontal cortex	""is""	""insula/frontal operculum""	"			
				
23	"	Most strikingly, there was a mutant gene-dose-dependent increase in caspase-cleaved TAU fragments, as determined by the caspase-cleaved TAU-specific antibody C3 (Gamblin et al., 2003; Guillozet-Bongaarts et al., 2005), in neurons derived from the isogenic TAU-A152T-iPSCs (Figures 4J and 4K)."	"	Most strikingly, there was a mutant gene-dose-dependent increase in caspase-cleaved TAU fragments, as determined by the caspase-cleaved TAU-specific antibody C3 , in neurons derived from the isogenic TAU-A152T-iPSCs (Figures 4J and 4K)."	Neutral	Criticizing
	"mutant gene-dose-dependent increase in caspase-cleaved TAU fragments as determined by caspase-cleaved TAU-specific antibody C3 in neurons derived from isogenic TAU-A152T-iPSCs	""there was""	""Most strikingly""	"			
	"mutant gene-dose-dependent increase in caspase-cleaved TAU fragments as determined by caspase-cleaved TAU-specific antibody C3 in neurons derived from isogenic TAU-A152T-iPSCs	""there was""	"			
	"neurons	""be derived from""	""isogenic TAU-A152T-iPSCs""	"			
	"isogenic TAU-A152T-iPSCs	""is""	""Figures""	"			
				
24	"	This conclusion was also extended to hypermethylation signatures identified by others (Lister et al., 2011; Ruiz et al., 2012)."	"	This conclusion was also extended to hypermethylation signatures identified by others ."	Neutral	Criticizing
	"conclusion	""was extended to hypermethylation signatures identified by""	""others""	"			
	"hypermethylation signatures	""be identified by""	""others""	"			
				
25	"	However, much is still not understood with regard to the physiology of stem-cell-derived RPE (Liao et al., 2010) and transplantation into patients is in the early stages."	"	However, much is still not understood with regard to the physiology of stem-cell-derived RPE  and transplantation into patients is in the early stages."	Neutral	Criticizing
	"QUANT_S_1	""is understood with""	""regard to physiology of stem-cell-derived RPE into patients""	"			
	"QUANT_S_1	""is understood with""	""regard to physiology of transplantation into patients""	"			
